;estado;cidade;populacao;pib;pib_percapita
4895;PERNAMBUCO;Camocim de São Félix;16574;67847.71875;4093.62011719
4896;MATO GROSSO DO SUL;Vicentina;5783;60769.06640625;10508.23046875
4897;RIO GRANDE DO NORTE;Encanto;5365;23171.35546875;4318.99023438
4898;RIO GRANDE DO SUL;Rosário do Sul;41746;535277.0;12822.24023438
4899;RIO GRANDE DO SUL;Dom Feliciano;15300;155935.0;10191.83007812
4900;SÃO PAULO;Osvaldo Cruz;31461;411053.875;13065.50976562
4901;RIO GRANDE DO SUL;Arroio do Sal;7291;80252.4140625;11007.04980469
4902;MARANHÃO;Tufilândia;5687;28744.01367188;5054.33984375
4903;PIAUÍ;Angical do Piauí;6793;25210.82421875;3711.29003906
4904;RIO GRANDE DO SUL;Vista Alegre;2932;37703.0859375;12859.16992188
4905;TOCANTINS;Itaporã do Tocantins;3135;31261.0703125;9971.62988281
4906;SANTA CATARINA;Antônio Carlos;7466;255497.78125;34221.51171875
4907;MATO GROSSO;Ribeirãozinho;2194;32890.05078125;14990.91015625
4908;GOIÁS;Montes Claros de Goiás;8070;104265.5703125;12920.15039062
4909;PIAUÍ;Pajeú do Piauí;3802;12159.56835938;3198.19995117
4910;RIO GRANDE DO NORTE;Riachuelo;7171;29479.8203125;4110.97998047
4911;PIAUÍ;Eliseu Martins;4923;17763.77539062;3608.32006836
4912;GOIÁS;Palmeiras de Goiás;22798;426385.15625;18702.74023438
4913;PIAUÍ;Santa Cruz do Piauí;5969;19409.03515625;3251.63989258
4914;SÃO PAULO;Júlio Mesquita;4539;32815.91015625;7229.77001953
4915;MINAS GERAIS;Matipó;17017;157143.3125;9234.49023438
4916;MINAS GERAIS;Santa Maria do Salto;5989;25498.65429688;4257.58007812
4917;TOCANTINS;Aragominas;5555;38742.546875;6974.35986328
4918;MARANHÃO;São João Batista;18570;47761.42578125;2571.9699707
4919;SÃO PAULO;Santana de Parnaíba;114321;3233583.0;28285.11914062
4920;SANTA CATARINA;Santa Terezinha;9363;134408.484375;14355.28027344
4921;PARANÁ;Sulina;3434;42495.37109375;12374.88964844
4922;SÃO PAULO;Pirapora do Bom Jesus;15706;123798.3671875;7882.22998047
4923;SÃO PAULO;Américo de Campos;5488;49532.8203125;9025.66015625
4924;ACRE;Xapuri;15079;150262.34375;9965.00976562
4925;SANTA CATARINA;Rodeio;11215;133049.5625;11863.54003906
4926;RIO GRANDE DO SUL;Mormaço;2713;48588.73046875;17909.58984375
4927;SÃO PAULO;Carapicuíba;392701;3068291.25;7813.29980469
4928;RIO GRANDE DO NORTE;Florânia;8487;41976.34375;4945.95996094
4929;MINAS GERAIS;Itanhomi;12357;63975.62109375;5177.27978516
4930;SANTA CATARINA;Fraiburgo;36469;505606.65625;13864.00976562
4931;SÃO PAULO;São Paulo;11037593;389317152.0;35271.9296875
4932;PARAÍBA;Vieirópolis;4908;16745.3203125;3411.84008789
4933;BAHIA;Ruy Barbosa;30422;125032.375;4109.93017578
4934;BAHIA;Olindina;24557;92409.46875;3763.06005859
4935;RIO GRANDE DO SUL;Nova Candelária;2789;64413.734375;23095.640625
4936;ESPIRITO SANTO;Apiacá;7883;48217.1796875;6116.60009766
4937;PARANÁ;Santa Inês;1882;20552.97460938;10920.8203125
4938;RIO GRANDE DO SUL;Arroio Grande;18748;313982.40625;16747.51953125
4939;TOCANTINS;Rio dos Bois;2136;29670.2109375;13890.54980469
4940;ESPIRITO SANTO;Piúma;17212;127082.0078125;7383.33984375
4941;SÃO PAULO;Birigui;110911;1409186.625;12705.55957031
4942;MATO GROSSO;Sorriso;60028;2339762.25;38977.8515625
4943;MINAS GERAIS;Bicas;14309;95820.9765625;6696.54980469
4944;TOCANTINS;Novo Alegre;1802;14066.19335938;7805.87988281
4945;ESPIRITO SANTO;Viana;60829;893107.0;14682.25976562
4946;MINAS GERAIS;Barão de Cocais;28074;349174.84375;12437.66015625
4947;SANTA CATARINA;Nova Trento;12025;169361.8125;14084.13964844
